CNES,HOSPITAL,PORTE,NOME_NORM,Latitude,Longitude,SOBRECARREGADO_REDE_PULMAO
2372568,HOSPITAL MUNICIPAL DO FORTIM DR WALDEMAR ALCANTARA,Pequeno,HOSPITAL MUNICIPAL DO FORTIM DR WALDEMAR ALCANTARA,-4.455745438944914,-37.796012234845065,False
2479818,HOSP MATERN MENINO JESUS DE PRAGA,Pequeno,HOSP MATERN MENINO JESUS DE PRAGA,-3.7603788,-40.814238,False
2562227,HOSP MATERN JULIA JORGE,Pequeno,HOSP MATERN JULIA JORGE,-4.051892632124381,-39.45142519757183,False
2333899,HOSP MATERN DR VICENTE ARRUDA,Pequeno,HOSP MATERN DR VICENTE ARRUDA,-3.124574432042748,-40.83126559398995,False
3384993,HOSPITAL MUNICIPAL DE GRANJEIRO,Pequeno,HOSPITAL MUNICIPAL DE GRANJEIRO,-6.889104799999999,-39.2255098,False
2426455,HOSP MATERN JOAQUIM GUIMARAES,Pequeno,HOSP MATERN JOAQUIM GUIMARAES,-3.916113721930148,-40.38879107885586,False
2664364,HOSPITAL MUNICIPAL DOM ALOISIO LORSCHEIDER,Pequeno,HOSPITAL MUNICIPAL DOM ALOISIO LORSCHEIDER,-4.0423331657615575,-38.633679803750574,False
2561344,HOSPITAL MATERNIDADE SAO JOSE,Pequeno,HOSPITAL MATERNIDADE SAO JOSE,-4.158963387205655,-40.76430268583922,False
2333740,HOSPITAL MUNICIPAL DE GUARAMIRANGA,Pequeno,HOSPITAL MUNICIPAL DE GUARAMIRANGA,-4.261940775004908,-38.93172786357693,False
2528282,HOSPITAL MATERNIDADE DR LUIZ DE GONZAGA FONSECA MOTA,Pequeno,HOSPITAL MATERNIDADE DR LUIZ DE GONZAGA FONSECA MOTA,-4.41129873253632,-40.40060409011666,False
2561433,HOSPITAL E MAT VENANCIO RAIM DE SOUSA,Pequeno,HOSPITAL E MAT VENANCIO RAIM DE SOUSA,-4.09782161048785,-38.48728330729509,False
2664372,HOSPITAL MUNICIPAL ANTONIO CAVALCANTE DE QUEIROZ,Pequeno,HOSPITAL MUNICIPAL ANTONIO CAVALCANTE DE QUEIROZ,-4.820369682908894,-38.82676823646113,False
2561336,HOSPITAL MUNICIPAL MARIA WANDERLENE NEGREIROS DE QUEIROZ,Medio,HOSPITAL MUNICIPAL MARIA WANDERLENE NEGREIROS DE QUEIROZ,-3.9247142,-40.8900189,False
2611309,HOSPITAL REGIONAL DE ICO DEPUTADO ORIEL GUIMARAES NUNES,Medio,HOSPITAL REGIONAL DE ICO DEPUTADO ORIEL GUIMARAES NUNES,-6.4005677,-38.8571841,False
2675560,HOSPITAL REGIONAL DE IGUATU,Grande,HOSPITAL REGIONAL DE IGUATU,-6.3587958,-39.29805899999999,False
2675536,HOSPITAL MATERNIDADE AGENOR ARAUJO,Medio,HOSPITAL MATERNIDADE AGENOR ARAUJO,-6.358432393912175,-39.29344113955305,False
5292190,HOSPITAL SAO VICENTE IESA,Medio,HOSPITAL SAO VICENTE IESA,-6.363394402058099,-39.29676477248615,False
2414848,HOSPITAL MUNICIPAL CEL JOAO GOMES COUTINHO,Pequeno,HOSPITAL MUNICIPAL CEL JOAO GOMES COUTINHO,-5.390571306166454,-40.302748862058245,False
2554658,HOSPITAL MUNICIPAL DRA FRANCY FROTA,Pequeno,HOSPITAL MUNICIPAL DRA FRANCY FROTA,-4.905369919533366,-40.7616723251689,False
